UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,CheckoutKioskName,CO Lat,CO Long,ReturnKioskName,R Lat,R Long,DurationMins,UsageFee,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CO Count,CheckoutDateLocal,Checkout Month,CO DoW (data),CO DoW,CheckoutTimeLocal,CO Time (nearest hr),Return Count,ReturnDateLocal,Return Month,R DoW (data),R DoW,ReturnTimeLocal,Return Time (nearest hr),TripRouteCategory
1095886,Demo Member,,,,UNITED STATES,,5418,Ogden/Marshall,43.0482,-87.90086,US Bank Center,43.03886,-87.90272,5,0,0.8,0.7,30,-1,1/5/2017,1-Jan-17,Thursday,Thursday,12:58:27,13:00:00,1,1/5/2017,1-Jan-17,Thursday,Thursday,13:03:55,13:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,5418,US Bank Center,43.03886,-87.90272,Ogden/Marshall,43.0482,-87.90086,7,0,1.1,1,42,-1,1/5/2017,1-Jan-17,Thursday,Thursday,17:45:11,18:00:00,1,1/5/2017,1-Jan-17,Thursday,Thursday,17:52:22,18:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,11095,US Bank Center,43.03886,-87.90272,Ogden/Marshall,43.0482,-87.90086,7,0,1.1,1,42,-1,1/3/2017,1-Jan-17,Tuesday,Tuesday,17:51:45,18:00:00,1,1/3/2017,1-Jan-17,Tuesday,Tuesday,17:58:13,18:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,11095,US Bank Center,43.03886,-87.90272,Ogden/Marshall,43.0482,-87.90086,7,0,1.1,1,42,-1,1/3/2017,1-Jan-17,Tuesday,Tuesday,12:09:37,12:00:00,1,1/3/2017,1-Jan-17,Tuesday,Tuesday,12:16:39,12:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,11095,Ogden/Marshall,43.0482,-87.90086,US Bank Center,43.03886,-87.90272,5,0,0.8,0.7,30,-1,1/3/2017,1-Jan-17,Tuesday,Tuesday,14:33:11,15:00:00,1,1/3/2017,1-Jan-17,Tuesday,Tuesday,14:38:24,15:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,11108,US Bank Center,43.03886,-87.90272,Ogden/Marshall,43.0482,-87.90086,7,0,1.1,1,42,-1,1/30/2017,1-Jan-17,Monday,Monday,12:20:35,12:00:00,1,1/30/2017,1-Jan-17,Monday,Monday,12:27:31,12:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,11146,Ogden/Marshall,43.0482,-87.90086,Ogden/Jackson,43.04824,-87.90497,3,0,0.5,0.4,18,-1,1/30/2017,1-Jan-17,Monday,Monday,9:23:50,9:00:00,1,1/30/2017,1-Jan-17,Monday,Monday,9:26:09,9:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,108,Ogden/Jackson,43.04824,-87.90497,US Bank Center,43.03886,-87.90272,94,0,14.1,13.4,564,-1,1/30/2017,1-Jan-17,Monday,Monday,9:26:17,9:00:00,1,1/30/2017,1-Jan-17,Monday,Monday,11:00:35,11:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,5438,Ogden/Marshall,43.0482,-87.90086,US Bank Center,43.03886,-87.90272,6,0,0.9,0.9,36,-1,1/26/2017,1-Jan-17,Thursday,Thursday,8:18:21,8:00:00,1,1/26/2017,1-Jan-17,Thursday,Thursday,8:24:51,8:00:00,One Way
1095886,Demo Member,,,,UNITED STATES,,5425,US Bank Center,43.03886,-87.90272,Ogden/Marshall,43.0482,-87.90086,6,0,0.9,0.9,36,-1,1/26/2017,1-Jan-17,Thursday,Thursday,12:56:38,13:00:00,1,1/26/2017,1-Jan-17,Thursday,Thursday,13:02:59,13:00:00,One Way
